0.0.0.0.0.0.0.0.4.4;0.0.0.0.0.0.0.0.4.4.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.4;0.0.0.0.0.0.0.0.4.4.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.5;0.0.0.0.0.0.0.0.4.5.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.5;0.0.0.0.0.0.0.0.4.5.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.5;0.0.0.0.0.0.0.0.4.5.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.5;0.0.0.0.0.0.0.0.4.5.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.6;0.0.0.0.0.0.0.0.4.6.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.6;0.0.0.0.0.0.0.0.4.6.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.6;0.0.0.0.0.0.0.0.4.6.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.6;0.0.0.0.0.0.0.0.4.6.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.7;0.0.0.0.0.0.0.0.4.7.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.7;0.0.0.0.0.0.0.0.4.7.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.7;0.0.0.0.0.0.0.0.4.7.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.8;0.0.0.0.0.0.0.0.4.8.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.9;0.0.0.0.0.0.0.0.4.9.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.10;0.0.0.0.0.0.0.0.4.10.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.11;0.0.0.0.0.0.0.0.4.11.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.12;0.0.0.0.0.0.0.0.4.12.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.13;0.0.0.0.0.0.0.0.4.13.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.14;0.0.0.0.0.0.0.0.4.14.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.15;0.0.0.0.0.0.0.0.4.15.0;-300 / 300;1
0.0.0.0.0.0.0.0.5.0;0.0.0.0.0.0.0.0.5.0.0;-100 / 100;1
