0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.6;700 / 700;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.7;900 / 900;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.0;500 / 500;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.1;1000 / 1000;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.2;500 / 500;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.3;900 / 900;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.4;500 / 500;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.5;600 / 600;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.6;800 / 800;0
0.2.1.3.0.0.0.2.4;0.2.1.3.0.0.0.2.4.7;1800 / 1800;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.0;1200 / 1200;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.1;700 / 700;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.2;800 / 800;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.3;900 / 900;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.4;600 / 600;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.5;700 / 700;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.6;800 / 800;0
0.2.1.3.0.0.0.3.0;0.2.1.3.0.0.0.3.0.7;200 / 200;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.0;1200 / 1200;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.1;300 / 300;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.2;900 / 900;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.3;400 / 400;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.4;800 / 800;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.5;900 / 900;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.6;600 / 600;0
0.2.1.3.0.0.0.3.1;0.2.1.3.0.0.0.3.1.7;700 / 700;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.0;600 / 600;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.1;400 / 400;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.2;500 / 500;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.3;500 / 500;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.4;800 / 800;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.5;900 / 900;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.6;1100 / 1100;0
0.2.1.3.0.0.0.3.2;0.2.1.3.0.0.0.3.2.7;1000 / 1000;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.0;800 / 800;0
0.2.1.3.0.0.0.3.3;0.2.1.3.0.0.0.3.3.1;500 / 500;0
